Genome	sampleId
302	GCF_003594975.1_ASM359497v1
303	GCF_003571485.1_ASM357148v1
304	GCF_003402555.1_Sfl_assembly01
305	GCF_003312345.1_ASM331234v1
306	GCF_003312355.1_ASM331235v1
307	GCF_001429565.2_ASM142956v2
308	GCF_003186045.1_ASM318604v1
309	GCF_003121785.1_ASM312178v1
310	GCF_003121765.1_ASM312176v1
311	GCF_003121725.1_ASM312172v1
312	GCF_003121735.1_ASM312173v1
313	GCF_003031305.1_ASM303130v1
314	GCF_003028395.1_ASM302839v1
315	GCF_002983505.1_ASM298350v1
316	GCF_002930555.1_ASM293055v1
317	GCF_002930535.1_ASM293053v1
318	GCF_002921295.1_ASM292129v1
319	GCF_002921275.1_ASM292127v1
320	GCF_002921285.1_ASM292128v1
321	GCF_002921205.1_ASM292120v1
322	GCF_002920025.1_ASM292002v1
323	GCF_002904255.1_ASM290425v1
324	GCF_002904225.1_ASM290422v1
325	GCF_002904195.1_ASM290419v1
326	GCF_002904185.1_ASM290418v1
327	GCF_002904145.1_ASM290414v1
328	GCF_002904125.1_ASM290412v1
329	GCF_002904105.1_ASM290410v1
330	GCF_002904085.1_ASM290408v1
331	GCF_002904055.1_ASM290405v1
332	GCF_002904045.1_ASM290404v1
333	GCF_002904005.1_ASM290400v1
334	GCF_002904025.1_ASM290402v1
335	GCF_002847345.1_ASM284734v1
336	GCF_002804265.1_ASM280426v1
337	GCF_002764035.1_ASM276403v1
338	GCF_002307355.1_ASM230735v1
339	GCF_002288545.1_ASM228854v1
340	GCF_002250255.1_Bf45_V1
341	GCF_002250215.1_101_V1
342	GCF_002068115.1_ASM206811v1
343	GCF_001984535.1_ASM198453v1
344	GCF_001984525.1_ASM198452v1
345	GCF_001932635.1_ASM193263v1
346	GCF_900129615.1_IMG-taxon_2695420962_annotated_assembly
347	GCF_001742145.1_ASM174214v1
348	GCF_000389755.1_Pa6276v1.0
349	GCA_900005045.1_Polaris_6
350	GCF_000260925.1_ASM26092v1
351	GCF_000291725.1_PecWas1.0
352	GCF_001238575.1_ASM123857v1
353	GCF_000294535.1_ASM29453v1
354	GCF_001039055.1_ASM103905v1
355	GCF_001039065.1_ASM103906v1
356	GCF_001038675.1_ASM103867v1
357	GCF_000808195.1_ASM80819v1
358	GCF_000808295.1_ASM80829v1
359	GCF_000808315.1_ASM80831v1
360	GCF_000808335.1_ASM80833v1
361	GCF_000808515.1_ASM80851v1
362	GCF_000808495.1_ASM80849v1
363	GCF_000808475.1_ASM80847v1
364	GCF_000808455.1_ASM80845v1
365	GCF_000808435.1_ASM80843v1
366	GCF_000808375.1_ASM80837v1
367	GCF_000808385.1_ASM80838v1
368	GCF_000808355.1_ASM80835v1
369	GCF_000808255.1_ASM80825v1
370	GCF_000808235.1_ASM80823v1
371	GCF_000808245.1_ASM80824v1
372	GCF_000808145.1_ASM80814v1
373	GCF_000808115.1_ASM80811v1
374	GCF_000803315.1_ASM80331v1
375	GCF_000803215.1_ASM80321v1
376	GCF_000757625.1_PecWasRNS_1.0
377	GCF_000754765.1_ASM75476v1
378	GCF_000754715.1_ASM75471v1
379	GCF_000754695.1_ASM75469v1
380	GCF_000754705.1_ASM75470v1
381	GCF_000754685.1_ASM75468v1
382	GCF_000749965.1_ASM74996v1
383	GCF_000749925.1_ASM74992v1
384	GCF_000749915.1_ASM74991v1
385	GCF_000749905.1_ASM74990v1
386	GCF_000749845.1_ASM74984v1
387	GCF_000749865.1_ASM74986v1
388	GCF_000749855.1_ASM74985v1
389	GCF_000740965.1_ASM74096v1
390	GCF_000738115.1_ASM73811v1
391	GCF_000738125.1_ASM73812v1
392	GCF_000696465.1_ASM69646v1
393	GCF_000632375.1_Pectobacterium_wasabiae_CFIA1002
394	GCF_000024645.1_ASM2464v1
395	GCF_000023605.1_ASM2360v1
396	GCF_000011605.1_ASM1160v1
397	JGAR-030718-1
398	JGAR-080719-2
399	JGAR-100719-1
400	JGAR-120719-4
401	NAK238
402	NAK246
403	NAK616
404	NAK617
405	NAK638
406	NAK641
407	NAK644
408	NAK650
409	NAK673
410	NAK679
411	NAK682
412	NAK683
413	NAK698
414	NAK700
415	NAK701
416	NAK709
417	NAK716
418	NAK719
419	NAK727
420	104326-106-001
421	104326-106-002
422	104326-106-003
423	104326-106-004
424	104326-106-005
425	104326-106-006
426	104326-106-007
427	104326-106-008
428	104326-106-023
429	104326-106-025
430	104326-106-028
431	104326-106-043
432	104326-106-045
433	104326-106-047
434	104326-106-048
435	104326-106-049
436	104326-106-050
437	104326-106-051
438	104326-106-052
439	104326-106-053
440	104326-106-054
441	104326-106-055
442	104326-106-056
443	104326-106-057
444	104326-106-058
445	104326-106-059
446	104326-106-061
447	104326-106-064
448	104326-106-069
449	104326-106-072
450	104326-106-073
451	104326-106-074
452	104326-106-075
453	104326-106-076
454	104326-106-079
